Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Twentyten,Twentyeleven,Twentytwelve,Twentythirteen,Twentyfourteen,Twentyfifteen,Twentysixteen,Twentyseventeen,Twentyeighteen,Twentynineteen
Central African Republic,599.7,619.34,586.41,572.14,573.43,567.88,560.17,574.25,570.33,598.87,601.92,599.01,590.26,592.82,620.72,612.42,633.2,643.47,636.36,605.27,562.77,538.15,562.08,500.75,532.73,539.76,547.11,510.44,510.09,510.37,488.55,473.74,431.21,420.31,428.41,446.77,417.8,429.03,438.46,443.7,422.86,432.06,438.25,406.15,421.95,417.5,428.96,440.18,441.3,472.09,488.42,505.24,528.64,335.39,334.44,346.69,359.6,371.11,379.37,384.15
Canada,,,,,,,,,,,22843.55,23060.51,24050.26,25382.04,25851.23,25848.97,27010.78,27614.39,28347.97,29110.47,29356.92,30004.45,28704.62,29161.63,30594.44,31752.35,32112.63,32982.91,33993.85,34163,33707.22,32596.43,32502.87,33003.04,34110.7,34669.03,34864.03,35996.71,36697.55,37845.74,39338.84,39460.74,40369.74,41532.22,42757,44471.08,45858,48534.17,48495.2,46540.64,47448.01,48464.5,48785.94,49397.52,50306.94,50262.03,50193.75,51170.48,51476.2,51588.76
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7222.12,6538.55,6430,6537.38,6804.87,7191.53,7532.18,7728.99,7950.41,8121.15,8495.65,8816.42,9188.32,9594.41,10180.46,10716.1,11451.09,12228.35,12752.84,12337.27,12576.04,13015.32,13146.26,13339.43,13774.28,14348.29,14823.21,15571.57,16291.27,16918.59
Switzerland,,,,,,,,,,,49581.24,51331.8,52572.29,53777.23,54266.62,50336.3,49914.23,51302.6,51507.84,52685.26,54891.43,55466.16,54420.97,54534.43,55973.7,57774.34,58542.71,59098.52,60588.6,62703.53,64343.52,62962.39,62244.8,61602.79,61889.67,61773.1,61833.01,63127.74,64822.29,65607.21,67807.93,68264.53,67860.24,67385.3,68781.61,70471.44,72823.84,75143.7,75793.63,73189.19,74605.72,75029.76,74984.14,75499.71,76410.86,76553.28,77026.34,77684.05,79234.96,79406.66
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,3611.92,3723.17,3794.01,3935.05,3957.24,3920.29,4283.02,4362,4443.88,4543.79,4552.26,4901.25,4773.98,4462.27,4497.17,3856.04,3942.57,4288.22,4549.16,4859.51,5172.04,5432.15,4767.2,4465.63,4583.38,4697.52,4875.13,5109.17,5397.03,5836.71,5933.21,6291.68,6879.78,7214.69,7459.18,8004.32,8427.82,8932.07,9199.2,9049.47,9419.98,9622.15,9814.66,10109.67,10726.64,11225.08,11808.83,12256.43,12553.79,12227.21,12808.03,13455.84,14035.68,14461.17,14561.33,14722.37,14777.15,14741.19,15111.7,15091.45
China,191.95,141.03,132.07,142.14,164.13,187.43,201.69,185.23,173.06,196.91,228.51,238.01,241.09,253.93,254.48,271.83,263.45,279.56,307.09,326.05,347.12,360.43,386.89,422.66,480.3,537.5,576.91,634.09,694.06,712.12,729.16,786.13,886.95,998.4,1116.03,1224.85,1332.42,1440.59,1538.66,1642.36,1767.83,1901.41,2061.16,2253.93,2467.13,2732.17,3062.53,3480.15,3796.63,4132.9,4550.45,4961.23,5325.16,5710.59,6103.59,6500.28,6907.96,7346.61,7806.95,8254.3
Cote d'Ivoire,1225.53,1299.77,1267.14,1396.01,1580.28,1474.83,1586.69,1601.05,1737.35,1831.45,1940.4,2033.55,2025.7,2048.48,2039.45,2107.53,2272.87,2330.62,2471.02,2419.69,2061.29,2041.93,1959.36,1804.71,1684.99,1691.93,1681.13,1614.05,1574.05,1563.01,1491.12,1438.94,1385,1334.5,1299.9,1347,1405.06,1412.81,1438.85,1421.71,1356.59,1326.13,1275.37,1231.72,1221.16,1216.19,1208.26,1202.89,1206.15,1217.21,1213.11,1132.55,1223.63,1299.81,1379.14,1463.71,1529.51,1600.77,1666.43,1735.8
Cameroon,957.27,948.79,957.05,971.39,983.58,980.83,1002.42,872,905.06,926.17,930.99,938.92,939.1,963.35,1038.14,1123.3,1032.02,1140.61,1351.56,1391.25,1323.43,1502.94,1566.85,1623.15,1690.6,1770.14,1830.98,1735.64,1550.11,1475.24,1343.51,1254.24,1180.2,1055.79,1048.32,1055.26,1072.05,1098.75,1118.64,1136.63,1146.57,1165.48,1183.03,1204.42,1251.93,1243.08,1251.46,1277.3,1286,1278.6,1286.52,1303.43,1325.93,1360.11,1401.75,1441.78,1469.19,1481.73,1502.17,1522.65
"Congo, Dem. Rep.",1038.93,903.13,1067.06,1094.01,1039.41,1021.61,1060.77,1020.79,1034.88,1099.68,1066.77,1100.42,1073,1129.87,1134.3,1048.55,965.2,944.92,869.07,848.75,844.5,842.57,818.23,809.72,833.58,816.14,832.28,831.65,812,777.26,702.13,619.8,533.53,444.05,411.49,401.19,386.11,355.53,341.78,319.56,289.99,276.14,276.06,282.65,292.35,300.56,306.53,315.26,324.04,322.42,334.02,345.27,357.6,375.22,397.34,411.02,407.29,408.92,418.99,423.64
