"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.525039301,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,0.533997102,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.462778435,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.432102317,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-3.300064307,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-8.669938449,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.690298733,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.594810222,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.449348608,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,2.373962569,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2.282940943,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.968243963,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-1.911775389,,
"CZE","Czech Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-10.891799298,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,0.533142727,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,0.78699072,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,0.185592273,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.24314668,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,0.201237464,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,0.496974494,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-2.009481049,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-6.926299655,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,3.132828191,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,3.029675967,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.032190719,,
"DNK","Denmark","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,2.77432713,,
